"city name","country name","most active airport","long. most active airport","lat. most active airport","number of routes","number incoming flights","number outcoming flights","number incoming domestic flights","number outcoming domestic flights","number incoming international flights","number outcoming international flights","only domestic flights","average distance","max. distance","airportCode"
London,United Kingdom,Heathrow,-0.103,51.795,1984,993,992,57,57,936,934,0,3228,11153,LHR
Chicago,United States,Chicago Ohare Intl,-87.842,42.631,1406,705,702,526,523,179,178,0,2328,12416,ORD
Paris,France,Charles De Gaulle,2.916,49.021,1254,626,629,68,68,558,560,0,3367,11652,CDG
Moscow,Russia,Domododevo,38.51,55.681,1179,589,591,231,231,358,359,0,2772,10054,DME
Shanghai,China,Pudong,122.342,31.238,1115,560,556,357,353,203,202,0,2235,12245,PVG
Beijing,China,Capital Intl,116.974,40.133,1021,509,513,317,320,192,192,0,2717,11787,PEK
Denver,United States,Denver Intl,-104.456,40.436,1002,502,500,462,459,40,41,0,1470,8043,DEN
Los Angeles,United States,Los Angeles Intl,-118.014,34.57,989,495,494,304,303,191,191,0,3892,14024,LAX
New York,United States,John F Kennedy Intl,-73.632,41.066,963,484,480,235,234,249,245,0,3680,12895,JFK
Frankfurt,Germany,Frankfurt Main,8.905,50.044,941,468,474,17,17,451,456,0,3881,11494,FRA
Houston,United States,George Bush Intcntl Houston,-94.903,30.64,901,449,453,294,297,155,155,0,2094,13035,IAH
Washington,United States,Washington Dulles Intl,-77.094,39.574,817,406,411,285,289,121,122,0,2575,11496,IAD
Newark,United States,Newark Liberty Intl,-73.615,41.154,789,395,395,183,182,212,212,0,3530,15259,EWR
Tokyo,Japan,Narita Intl,140.643,36.274,789,395,395,109,109,286,285,0,4173,11225,NRT
Amsterdam,Netherlands,Schiphol,5.273,52.514,768,383,385,0,0,383,385,0,3519,11476,AMS
Madrid,Spain,Barajas,-3.278,40.822,755,377,378,82,79,295,299,0,2930,10720,MAD
Seoul,South Korea,Incheon Intl,126.75,37.781,737,368,370,25,25,343,344,0,3298,11416,ICN
Istanbul,Turkey,Ataturk,29.357,41.628,731,366,366,66,66,300,299,0,2260,10911,IST
Singapore,Singapore,Changi Intl,104.657,1.583,720,358,363,0,0,358,362,0,3611,15259,SIN
Bangkok,Thailand,Suvarnabhumi Intl,101.245,14.135,686,344,342,57,56,287,286,0,3396,13195,BKK
Atlanta,United States,Hartsfield Jackson Atlanta Intl,-84.047,34.061,684,342,342,225,225,117,117,0,2414,13545,ATL
Rome,Italy,Fiumicino,12.417,42.34,661,329,333,55,56,274,276,0,2199,11173,FCO
San Francisco,United States,San Francisco Intl,-121.959,38.031,658,327,332,218,220,109,111,0,3698,12954,SFO
Barcelona,Spain,Barcelona,2.13,41.495,650,326,324,103,104,223,220,0,1762,10928,BCN
Munich,Germany,Franz Josef Strauss,12.31,48.589,642,321,322,30,31,291,290,0,2428,10048,MUC
Toronto,Canada,Lester B Pearson Intl,-79.385,44.128,640,322,319,61,58,261,260,0,3026,12470,YYZ
Hong Kong,Hong Kong,Hong Kong Intl,114.524,22.514,640,318,323,0,0,318,322,0,3554,12895,HKG
Dubai,United Arab Emirates,Dubai Intl,55.607,25.421,635,314,322,0,0,314,321,0,3536,13310,DXB
Guangzhou,China,Baiyun Intl,113.497,23.654,599,300,299,217,217,83,82,0,1919,11563,CAN
Dallas-fort Worth,United States,Dallas Fort Worth Intl,-96.397,33.494,568,285,283,212,210,73,73,0,2164,13876,DFW
Sao Paulo,Brazil,Guarulhos Gov Andre Franco Montouro,-46.116,-23.054,547,271,276,177,180,94,96,0,2754,12197,GRU
Delhi,India,Indira Gandhi Intl,77.171,28.944,546,272,274,157,159,115,115,0,2287,11909,DEL
