Country,UrbanArea,Population,Year,BaseYearPopulationEstimate,LandAreaSquareMiles,Density,LandAreaKm2,Density,BaseYear,PopulationSource,LandAreaSource
Japan,Tokyo-Yokohama,"37843000",2015,"37100000","3300","11500","8547","4400",2010,C,B
Indonesia,Jakarta,"30539000",2015,"27300000","1245","24500","3225","9500",2010,C,B
India,"Delhi, DL-UP-HR","24998000",2015,"22250000",800,"31200","2072","12100",2011,A,B
Philippines,Manila,"24123000",2015,"20750000",610,"39500","1580","15300",2010,C,B
South Korea,Seoul-Incheon,"23480000",2015,"22500000",875,"26800","2266","10400",2010,C,B
China,"Shanghai, SHG-JS-ZJ","23416000",2015,"22025000","1475","15900","3820","6100",2013,L,B
Pakistan,Karachi,"22123000",2015,"19530000",365,"60600",945,"23400",2011,C,B
China,"Beijing, BJ","21009000",2015,"19000000","1475","14200","3820","5500",2013,L,B
United States,"New York, NY-NJ-CT","20630000",2015,"20366000","4495","4500","11642","1800",2010,N,N
China,"Guangzhou-Foshan, GD","20597000",2015,"16400000","1325","15500","3432","6000",2010,C,B
Brazil,Sao Paulo,"20365000",2015,"19200000","1045","19500","2707","7500",2010,C,B
Mexico,Mexico City,"20063000",2015,"19250000",800,"25100","2072","9700",2010,C,B
India,"Mumbai, MH","17712000",2015,"16600000",211,"83900",546,"32400",2011,C,B
Japan,Osaka-Kobe-Kyoto,"17444000",2015,"17000000","1240","14100","3212","5400",2010,C,B
Russia,Moscow,"16170000",2015,"15500000","1800","9000","4662","3500",2010,C,B
Bangladesh,Dhaka,"15669000",2015,"13600000",139,"112700",360,"43500",2011,C,B
Egypt,Cairo,"15600000",2015,"15600000",680,"22900","1761","8900",2015,C,B
United States,"Los Angeles, CA","15058000",2015,"14667000","2432","6000","6299","2400",2010,N,N
Thailand,Bangkok,"14998000",2015,"13500000","1000","15000","2590","5800",2010,C,B
India,"Kolkata, WB","14667000",2015,"14113000",465,"31500","1204","12200",2011,A,B
Argentina,Buenos Aires,"14122000",2015,"13370000","1035","13600","2681","5300",2010,C,B
Iran,Tehran,"13532000",2015,"13000000",575,"23500","1489","9100",2011,C,B
Turkey,Istanbul,"13287000",2015,"12400000",525,"25300","1360","9800",2011,C,B
Nigeria,Lagos,"13123000",2015,"13123000",350,"37500",907,"14500",2015,D,B
China,"Shenzhen, GD","12084000",2015,"11500000",675,"17900","1748","6900",2010,C,B
Brazil,Rio de Janeiro,"11727000",2015,"11300000",780,"15000","2020","5800",2010,C,B
Congo (Dem. Rep.),Kinshasa,"11587000",2015,"11587000",225,"51500",583,"19900",2015,D,B
China,"Tianjin, TJ","10920000",2015,"10275000",775,"14100","2007","5400",2013,F,B
France,Paris,"10858000",2015,"10460000","1098","9500","2845","3800",2010,A,A
Peru,Lima,"10750000",2015,"10750000",355,"30300",919,"11700",2015,C,B
China,"Chengdu, SC","10376000",2015,"8750000",595,"17400","1541","6700",2010,C,B
United Kingdom,London,"10236000",2015,"9787000",671,"14600","1738","5900",2011,A,A
Japan,Nagoya,"10177000",2015,"10000000","1500","6800","3885","2600",2010,C,B
Pakistan,Lahore,"10052000",2015,"8675000",305,"33000",790,"12700",2010,F,B
India,"Bangalore, KA","9807000",2015,"8499000",450,"21800","1166","8400",2011,A,B
India,"Chennai, TN","9714000",2015,"8696000",375,"25900",971,"10000",2011,A,B
United States,"Chicago, IL-IN-WI","9156000",2015,"9023000","2647","3400","6856","1300",2010,N,N
Colombia,Bogota,"8991000",2015,"7150000",190,"47300",492,"18300",2005,C,B
Viet Nam,Ho Chi Minh City,"8957000",2015,"8200000",575,"15600","1489","6000",2012,C,B
India,"Hyderabad, AP","8754000",2015,"7749000",475,"18400","1230","7100",2011,A,B
